#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!,!Stratum,,!,MAN_ID,
*,MACH0001,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0001,MK10,TOA0235063,1,,5,,!,RAP_VER,
*,MACH0002,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0002,MK10,TOA0235063,1,,4,,!,CLIM_ID,0XFX
*,MACH0003,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0003,MK10,TOA0235024,1,,5,,!,DESCRIPTION,CURRENT
*,MACH0004,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0004,MK10,TOA0235024,1,,6,,,,
*,MACH0006,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0006,MK07,TOA0252082,1,,1,,,,
*,MACH0007,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0007,MK10,TOA0235054,1,,5,,,,
*,MACH0012,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0012,MK10,TOA0235044,1,,3,,,,
*,MACH0013,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0013,MK10,TOA0235044,1,,7,,,,
*,MACH0014,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0014,MK10,TOA0235044,1,,3,,,,
*,MACH0019,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0019,MK10,TOA0235034,1,,2,,,,
*,MACH0020,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0020,MK10,TOA0235034,1,,3,,,,
*,MACH0023,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0023,MK10,TOA0235033,1,,4,,,,
*,MACH0029,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0029,MK10,TOA0235033,1,,5,,,,
*,MACH0030,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0030,MK10,TOA0235033,1,,3,,,,
*,MACH0035,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0035,MK14,TOA0230076,1,,4,,,,
*,MACH0036,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0036,MK14,TOA0230076,1,,3,,,,
*,MACH0038,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0038,MK14,TOA0248085,1,,3,,,,
*,MACH0040,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0040,MK14,TOA0230107,1,,1,,,,
*,MACH0042,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0042,MK14,TOA0230076,1,,6,,,,
*,MACH0044,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0044,MK14,TOA0230097,1,,4,,,,
*,MACH0045,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0045,MK14,TOA0230097,1,,3,,,,
*,MACH0046,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0046,MK14,TOA0230097,1,,5,,,,
*,MACH0049,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0049,MK14,TOA0230107,1,,4,,,,
*,MACH0050,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0050,MK14,TOA0230107,1,,4,,,,
*,MACH0052,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0052,MK14,TOA0230107,1,,4,,,,
*,MACH0054,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0054,MK14,TOA0230107,1,,3,,,,
*,MACH0056,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0056,MK14,TOA0080076,1,,3,,,,
*,MACH0057,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0057,MK14,TOA0080076,1,,2,,,,
*,MACH0058,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0058,MK14,TOA0080076,1,,4,,,,
*,MACH0060,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0060,MK14,TOA0235076,1,,4,,,,
*,MACH0062,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0062,MK14,TOA0230076,1,,4,,,,
*,MACH0063,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0063,MK14,TOA0230076,1,,4,,,,
*,MACH0066,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0066,MK13,TOA0235076,1,,3,,,,
*,MACH0068,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0068,MK13,TOA0235076,1,,1,,,,
*,MACH0069,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0069,MK14,TOA0230066,1,,3,,,,
*,MACH0070,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0070,MK14,TOA0230066,1,,4,,,,
*,MACH0072,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0072,MK14,TOA0248085,1,,2,,,,
*,MACH0073,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0073,MK14,TOA0248085,1,,5,,,,
*,MACH0075,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0075,MK14,TOA0230097,1,,5,,,,
*,MACH0078,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0078,MK14,TOA0230107,1,,4,,,,
*,MACH0081,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0081,MK14,TOA0080076,1,,5,,,,
*,MACH0086,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0086,MK14,TOA0230076,1,,5,,,,
*,MACH0088,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0088,MK14,TOA0230066,1,,3,,,,
*,MACH0090,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0090,MK14,TOA0230066,1,,4,,,,
*,MACH0092,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0092,MK14,TOA0230066,1,,4,,,,
*,MACH0255,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0255,MK10,TOA0235085,1,,4,,,,
*,MACH0256,MACHAKOS-1----FIELD,MACHAKOS-1----BASELINE,,!,MACH0256,MK10,TOA0235085,1,,2,,,,
